title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing,log_price,Gemeindename_x,Gemeindename_y,bev_dicht,Quartil,Kategorie,clean_Gemeindename
Mit Initiative und gemäßigtem Budget ins Eigenheim- Einfamilienhaus in Cunewalde,70000.0,"02733 Cunewalde, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,150.0,660.0,467.0,Einfamilienhaus (freistehend),80.0,nach Vereinbarung,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",11.156264806643742,Cunewalde,Cunewalde,172.08,Q3,ländlich,Cunewalde
Einfamilienhaus in Kemnitz,50000.0,"02748 Bernstadt auf dem Eigen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,122.0,329.0,410.0,Doppelhaushälfte,70.0,nach Vereinbarung,3.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",10.819798284210286,Bernstadt,Bernstadt,166.93,Q3,ländlich,Bernstadt
Modernisiertes Wohnhaus mit Bäckerei in Bernstadt,135000.0,"02748 Bernstadt auf dem Eigen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,140.0,286.0,964.0,Einfamilienhaus (freistehend),100.0,nach Vereinbarung,4.0,1.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.813037464800539,Bernstadt,Bernstadt,166.93,Q3,ländlich,Bernstadt
Domizil für die große Familie in schöner Wohnlage von Schlegel,195000.0,"02788 Zittau, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7.0,190.0,1450.0,1026.0,Einfamilienhaus (freistehend),60.0,sofort,4.0,2.0,1.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.180759965737863,Görlitz,"Görlitz, Stadt",822.14,Q4,städtisch,Görlitz
Geräumiges Wohnhaus mit mannigfaltigen Möglichkeiten,230000.0,"02794 Leutersdorf, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8.0,238.0,1210.0,966.0,Einfamilienhaus (freistehend),100.0,nach Vereinbarung,5.0,3.0,1.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",12.345838935721968,Görlitz,"Görlitz, Stadt",822.14,Q4,städtisch,Görlitz
Traumhafte naturnahe Doppelhaushälfte sucht neuen Eigentümer,250000.0,"02829 Markersdorf, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,102.0,488.0,2451.0,Doppelhaushälfte,105.0,nil,3.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",12.429220196836383,Mark,Mark,0.0,Q1,ländlich,Mark
Ein Domizil für die große Familie,160000.0,"02929 Rothenburg/Oberlausitz, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,777.0,889.0,Einfamilienhaus (freistehend),150.0,nach Vereinbarung,4.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.982935344196433,Roth,Roth,398.94,Q4,städtisch,Roth
Ein Domizil für die große Familie,160000.0,"02929 Rothenburg/Oberlausitz, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,777.0,889.0,Einfamilienhaus (freistehend),150.0,nach Vereinbarung,4.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.982935344196433,Roth,Roth,331.71,Q4,städtisch,Roth
Ein Domizil für die große Familie,160000.0,"02929 Rothenburg/Oberlausitz, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,777.0,889.0,Einfamilienhaus (freistehend),150.0,nach Vereinbarung,4.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.982935344196433,Roth,Roth,65.12,Q2,ländlich,Roth
Ein Domizil für die große Familie,160000.0,"02929 Rothenburg/Oberlausitz, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,777.0,889.0,Einfamilienhaus (freistehend),150.0,nach Vereinbarung,4.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.982935344196433,Roth,Roth,60.0,Q2,ländlich,Roth
Ein Domizil für die große Familie,160000.0,"02929 Rothenburg/Oberlausitz, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6.0,180.0,777.0,889.0,Einfamilienhaus (freistehend),150.0,nach Vereinbarung,4.0,2.0,3.0,3.57,"{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}",11.982935344196433,Roth,"Roth, Stadt",261.24,Q4,städtisch,Roth
Neuwertiges Einfamilienhaus sucht neue Familie,179599.0,"02957 Weißkeißel, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4.0,128.0,971.0,1403.0,Einfamilienhaus (freistehend),25.0,sofort,3.0,1.0,1.0,3.57,{'is24qa-gaeste-wc-label': ''},12.098487434850236,Görlitz,"Görlitz, Stadt",822.14,Q4,städtisch,Görlitz
ländliche Wohnlage mit guter Verkehrsanbindung,129000.0,"03172 Schenkendöbern, Spree-Neiße (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5.0,130.0,892.0,992.0,Einfamilienhaus (freistehend),65.0,sofort,2.0,1.0,2.0,3.57,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}",11.767575435251748,Schenkendöbern,Schenkendöbern/Derbno,16.17,Q1,ländlich,Schenkendöbern
