title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
attraktive ETW im Kröpeliner Stadtquartier in verkehrsgünstiger Lage,280000.0,"18236 Kröpelin, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,76.13,3678.0,Etagenwohnung,,Fertigstellung,nil,nil,nil,"3,57 % inkl. ges. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-garten-mitbenutzung-label': ''}"
Neubau! Erstbezug in eine 2-Zimmer-Obergeschosswohnung/großer Balkon/Energieeffizienzhaus 40,301500.0,"31582 Nienburg (Weser), Nienburg (Weser) (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,72.71,4147.0,Dachgeschoss,,nach Vereinbarung,1,1,nil,Nein,{'is24qa-provisionsfrei-fuer-kaufende-label': ''}
FAST AM STRAND IN TOPLAGE: VOLL AUSGESTATTET WOHNUNG MIT EINBAUKÜCHE UND ÜBERDACHTER TERRASSE,255000.0,"18374 Zingst, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,60.0,4250.0,nil,,Nach Vereinbarung,nil,1,nil,"3,57 % inkl. Mwst.",{'is24qa-als-ferienwohnung-geeignet-label': ''}
attraktive ETW im Kröpeliner Stadtquartier in verkehrsgünstiger Lage,270000.0,"18236 Kröpelin, Rostock (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,72.47,3726.0,Etagenwohnung,,Fertigstellung,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-personenaufzug-label': ''}
Sehr schöne 3-Raumwohnung in beliebter Wohnlage von Greifswald !!!,250000.0,"Innenstadt, 17489 Greifswald
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,59.0,4237.0,Etagenwohnung,,nil,1,1,1 Außenstellplatz,"3,57 % inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
NEU Seniorengerechte 2 Raumwohnung,219000.0,"19073 Wittenförden, Ludwigslust-Parchim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,75.0,2920.0,Etagenwohnung,,nil,1,1,1 Außenstellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Ferienwohnung im Ferienpark Seedorf,199000.0,"18586 Sellin, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,52.0,3827.0,nil,,nil,nil,nil,1 Tiefgaragen-Stellplatz,"7,14 % inkl. gesetzl. MwSt. (abweichende Provisionsregelungen n. §§ 656 a-d siehe ""Sonstiges"")","{'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-als-ferienwohnung-geeignet-label': '', 'is24qa-vermietet-label': ''}"
"Hell und freundlich mit viel Platz im Tweel-Viertel - 3 Zimmer, 2 Bäder plus 3 Räume",250000.0,"Hansaviertel, 18059 Rostock
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,66.0,3788.0,nil,57.0,nil,nil,nil,nil,"3,25 % inkl. MwSt. vom Käufer zu zahlen",{'is24qa-keller-label': ''}
Eigentumswohnung mit tollem Ostseeblick in einer Bäderstilvilla,347000.0,"18546 Sassnitz, Vorpommern-Rügen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,91.0,3813.0,Etagenwohnung,,nil,2,nil,1 Außenstellplatz,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Kapitalanlage: Schöne 3-Zimmer-Wohnung mit Balkon,196000.0,"Rudolf-Breitscheid-Str. 30,
Paulsstadt, 19053 Schwerin",3,89.5,2190.0,nil,,nil,nil,nil,nil,6.000 €,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': ''}"
Luxus Apartment am Schmarmützelsee in Bad Saarow mit Privat Spa,834000.0,"15526 Bad Saarow, Oder-Spree (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,107.0,7794.0,Etagenwohnung,,Juli 2023,2,2,1 Tiefgaragen-Stellplatz,"3,57%","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienwohnung-geeignet-label': ''}"
EIGENTUMSWOHNUNG IN BESTER LAGE DER RESIDENZSTADT AUF GROSSEM GRUNDSTÜCK - HEIZUNG IN 2020 NEU,134000.0,"17235 Neustrelitz, Mecklenburgische Seenplatte (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,80.0,1675.0,nil,,nil,nil,1,1 Außenstellplatz,"2,5 % inkl. Mwst.",{'is24qa-keller-label': ''}
Kapitalanlage oder Eigennutzung: 2-Zimmer-Wohnung in 19075 Pampow,104000.0,"19075 Pampow, Ludwigslust-Parchim (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,55.03,1890.0,nil,,nil,nil,nil,1 Außenstellplatz,4.000 €,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
Kapitalanlage: 1-Zimmer-Wohnung in zentraler Lage,93000.0,"Rudolf-Breitscheid-Str. 30,
Paulsstadt, 19053 Schwerin",1,37.5,2480.0,nil,,nil,nil,nil,nil,3.000 €,"{'is24qa-einbaukueche-label': '', 'is24qa-vermietet-label': ''}"
