title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Beliebte Wohnlage ++ 3-Raum Wohnung mit Stellplatz + Balkon ++ Bezugsfrei ++,199000.0,"Lutherplatz/Thüringer Bahnhof, 06110 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,64.0,3109.0,Etagenwohnung,,Sofort verfügbar,2,1,nil,"3,57% des Kaufpreises inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Schöne 4-Zi.-Maisonette mit Terrasse, Balkon und Stellplatz in Großkugel",169000.0,"06184 Kabelsketal, Saalekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,118.08,1431.0,Maisonette,,nach Absprache,3,1,1 Außenstellplatz,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
"4,2 % Ist-Mietrendite in beliebter, gut angebundener Wohnlage",135000.0,"06237 Kötschlitz, Saalekreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,87.54,1542.0,Maisonette,,nach Absprache,2,nil,1 Garage,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Großzügige 1-Zimmer-Wohnung in sonniger Wohnlage,70000.0,"Ortslage Lettin, 06120 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,41.08,1704.0,Etagenwohnung,,nil,nil,1,1 Außenstellplatz,3 % zzgl. ges. MwSt.,{'is24qa-vermietet-label': ''}
Verwirklichen Sie Ihren Traum vom Eigentum,90000.0,"Rabatzer Straße 1,
Freiimfelde/Kanenaer Weg, 06112 Halle (Saale)",3,65.68,1370.0,Etagenwohnung,65.68,sofort,1,1,nil,Nein,"{'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Wohnen mit Grün: Potenzialstarke 5-Zi.-ETW mit Balkon und Loggia in Randlage,199000.0,"Brückfeld, 39114 Magdeburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,106.0,1877.0,nil,,nach Absprache,4,1,nil,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Wohnen unweit der Saale-wie in den Ferien!,120000.0,"Ortslage Lettin, 06120 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,69.24,1733.0,Etagenwohnung,,nil,2,1,1 Außenstellplatz,3 % zzgl. ges. MwSt.,{}
Zögern Sie nicht: Kernsanierte Altbauwohnung in zentrumsnaher Lage von Quedlinburg,145000.0,"06484 Quedlinburg, Harz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,90.42,1604.0,nil,,ab sofort,2,1,nil,"3,57 %","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Elegant in historischer Villa: Exklusive Wohnung mit Büro- und Praxisoption in Gehobener Lage,622000.0,"Giebichenstein, 06114 Halle (Saale)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,129.91,4788.0,Etagenwohnung,,nach Vereinbarung,3,1,1 Carport,"3,57% Käuferprovision inkl. gesetzl. MwSt.","{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': ''}"
Wohnen am Klemmberg in Weißenfels,35800.0,"06667 Weißenfels, Burgenlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,28.0,1279.0,Etagenwohnung,,nil,1,1,1 Tiefgaragen-Stellplatz,"3,57","{'is24qa-personenaufzug-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': ''}"
