title,price,address,rooms,living_space,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Provisionsfreie Eigentumswohnung direkt am Alsterlauf,570000.0,"Wellingsbüttel, 22391 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,103.0,5534.0,Hochparterre,11.0,1.4.2024,2,2,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Moderne Wohlfühloase: 2,5-Zimmer-Wohnung in Hummelsbüttel",320000.0,"Hummelsbüttel, 22399 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","2,5",77.0,4156.0,Etagenwohnung,,nil,1,1,nil,"3,57 % inkl. MwSt.","{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
"Stilvolle 1,5-Raum-Wohnung als Kapitalanlage in Hamburg Tonndorf",175000.0,"Ahrensburger Straße 125,
Tonndorf, 22045 Hamburg","1,5",36.0,4861.0,Etagenwohnung,,1.6.2024,1,1,1 Duplex-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Renovieren und wohlfühlen, Wohnung auf zwei Ebenen mit viel Platz",349000.0,"Eißendorf, 21077 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,120.0,2908.0,nil,,nil,nil,nil,nil,3.57%,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Großzügige 4-Zimmer-Wohnung in Marienthal, zentral / verkehrsgünstig und doch im Grünen",699000.0,"Luisenstrasse 2,
Marienthal, 22045 Hamburg",4,137.0,5102.0,Hochparterre,24.0,12.5.2024,2,1,1 Parkhaus-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Mozartstr. 24 HH-Barmbek-Süd, 3-Raum-Wohnung, 2 Logien, EBK, Stellplatz",690000.0,"Mozartstr. 24,
Barmbek-Süd, 22083 Hamburg",3,84.77,8140.0,Etagenwohnung,6.0,28.9.2024,2,1,1 Duplex-Stellplatz,Nein,"{'is24qa-personenaufzug-label': '', 'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"Fuhlsbüttlerstr. 587, Mittendrin und hinten ruhig",699000.0,"Fuhlsbüttler Straße 587,
Ohlsdorf, 22337 Hamburg",5,135.0,5178.0,Maisonette,6.0,sofort,4,2,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Nur ein Katzensprung zum Alsterlauf - Ruhiges und sonniges Apartment mit Loggia und Sanierungsbedarf,215000.0,"Hummelsbüttel, 22339 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","1,5",49.0,4388.0,Etagenwohnung,,nil,nil,1,nil,3 Prozent Käuferprovision inkl. Umsatzsteuer,"{'is24qa-balkon-terrasse-label': '', 'is24qa-keller-label': ''}"
Charmante Erdgeschosswohnung mit Terrasse und Garage nahe der Elbe,170000.0,"Ochsenwerder, 21037 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,68.0,2500.0,Erdgeschosswohnung,,ab sofort,nil,1,1 Garage,"3,57% inkl. MwSt","{'is24qa-balkon-terrasse-label': '', 'is24qa-garten-mitbenutzung-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Balkon rundum!!! Wer hat das schon? Penthouse Wohnung am See inklusive Tiefgarage,345000.0,"Richeystraße 52,
Steilshoop, 22309 Hamburg",2,55.32,6236.0,Penthouse,65.0,1.6.2024,1,1,1 Tiefgaragen-Stellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Schöne 2 Zimmer Wohnung in Hamburg Stellingen,225000.0,"Stellingen, 22527 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",2,50.0,4500.0,Etagenwohnung,6.0,nach Absprache,nil,nil,1 Außenstellplatz,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Charmante Jugendstil- Wohnung in Hamburg Ottensen - von Privat,490000.0,"Ottensen, 22763 Hamburg
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",3,57.0,8596.0,Etagenwohnung,9.4,1.7.2024,1,1,nil,Nein,"{'is24qa-balkon-terrasse-label': '', 'is24qa-einbaukueche-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
