title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Vermietetes Einfamilienhaus in städtischer Lage!,119000.0,"08393 Meerane, Zwickau (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",1,223.0,500.0,534.0,Einfamilienhaus (freistehend),,ab sofort,nil,1,nil,"2,38 % inkl. gesetzlicher Mwst.",{'is24qa-vermietet-label': ''}
Top moderne und gepflegte Stadtvilla in bester Lage!,895500.0,"Adelsberg, 09127 Chemnitz
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,205.0,740.0,4368.0,Einfamilienhaus (freistehend),,nach Vereinbarung,3,2,4 Stellplätze,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Altstadthaus zum Sanieren bietet Individualität und Innenhof,37000.0,"Grunagasse 2,
01877 Bischofswerda, Bautzen (Kreis)",5,120.0,156.0,308.0,Reiheneckhaus,,sofort,nil,nil,Außenstellplatz,4% zzgl. Mwst.,"{'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
Ruhig gelegene Doppelhaushälfte mit Ausbaureserve in Doberschütz bei Eilenburg,129900.0,"04838 Doberschütz, Nordsachsen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,90.0,296.0,1443.0,Doppelhaushälfte,50.0,sofort,nil,nil,1 Garage,"3,57% inklusive gesetzlicher MwSt.",{}
Mehrfamilienhaus in der Seidenblumenstadt,149000.0,"01855 Sebnitz, Sächsische Schweiz-Osterzgebirge (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",21,390.22,1093.0,382.0,Mehrfamilienhaus,323.16,nil,nil,nil,5 Stellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Bungalow mit Keller und viel Platz für die ganze Familie,320000.0,"04571 Rötha, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,106.0,585.0,3019.0,Bungalow,230.0,nach Vereinbarung,3,1,5 Carports,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Komfortabel und modern - schlüsselfertig für Ihre Familie,347700.0,"Kühnicht, 02977 Hoyerswerda
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,140.0,375.0,2484.0,Doppelhaushälfte,,nil,4,1,nil,Nein,"{'is24qa-gaeste-wc-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
Historisches Mehrfamilienhaus im beschaulichen Stollberg (Erzgebirge),68000.0,"09366 Stollberg/Erzgebirge, Erzgebirgskreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,150.0,1784.0,453.0,Mehrfamilienhaus,,nil,nil,nil,nil,"zzgl. 7,14% Provision , mind. jedoch 1.785,00 € pauschale Bearbeitungsgebühr inkl. Mwst.",{}
Interessantes Mehrfamilienhaus gern auch im Paket,285000.0,"Dr. Otto-Nuschke-Str. 36,
09376 Oelsnitz/Erzgebirge, Erzgebirgskreis",18,329.0,1000.0,866.0,Mehrfamilienhaus,,nil,nil,nil,Außenstellplatz,4 %,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Gepflegtes Mietshaus - gern auch im Paket,265000.0,"Dr. Otto-Nuschke-Str. 32,
09376 Oelsnitz/Erzgebirge, Erzgebirgskreis",12,323.0,490.0,820.0,Mehrfamilienhaus,,nach Vereinbarung,3,nil,Außenstellplatz,4 %,{'is24qa-gaeste-wc-label': ''}
NEUER PREIS!! EFH auf ehemaligem Mühlengrundstück: Ideal für Handwerker zur Selbstverwirklichung,99999.0,"04654 Kohren-Sahlis, Leipzig (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,147.0,6295.0,680.0,Einfamilienhaus (freistehend),,nil,nil,1,4 Stellplätze,"4,76 %",{'is24qa-keller-label': ''}
Modernisiertes Wohnhaus mit Bäckerei in Bernstadt,135000.0,"02748 Bernstadt auf dem Eigen, Görlitz (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140.0,286.0,964.0,Einfamilienhaus (freistehend),100.0,nach Vereinbarung,4,1,1 Garage,"3,57 % vom Kaufpreis inkl. gesetzl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
Erstbezug zu großartigem Preis!,295800.0,"Kühnicht, 02977 Hoyerswerda
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,100.0,362.0,2958.0,Doppelhaushälfte,,nil,1,nil,1 Stellplatz,"3,57% des Kaufpreises inkl. MwSt.",{'is24qa-gaeste-wc-label': ''}
Tolle Rohbau- Stadtvilla in der Pfefferkuchenstadt Pulsnitz,359000.0,"01896 Pulsnitz, Bautzen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,160.0,627.0,2244.0,Einfamilienhaus (freistehend),,sofort,4,2,1 Garage,"3,57%",{'is24qa-keller-label': ''}
Attraktives Renditeobjekt mit Stil & Charme in der Musikinstrumentenstadt Markneukirchen,280000.0,"08258 Markneukirchen, Vogtlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,266.0,450.0,1053.0,Mehrfamilienhaus,,nil,nil,nil,nil,laut Info inkl. MwSt.,{}
Gepflegtes & vermietetes Mehrfamilienhaus mit Garagen & Wintergarten,164900.0,"08209 Auerbach/Vogtland, Vogtlandkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",12,348.0,280.0,474.0,Mehrfamilienhaus,,nil,nil,nil,2 Garagen,"2,975% inkl. MwSt.","{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
