title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Villa ( 3 Familienhaus) in guter Lage der Stadt Mühlhausen zu verkaufen :),220000.0,"99974 Mühlhausen/Thüringen, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",9,286.0,455.0,769.0,Mehrfamilienhaus,100.0,nil,nil,nil,3 Stellplätze,"5,95% inkl. MwSt","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"bezugsfreies Wohnhaus mit Garage, Nebengelass in Heldrungen",104000.0,"06577 Heldrungen, Kyffhäuserkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",4,104.0,320.0,1000.0,nil,,nil,nil,nil,nil,"2,98 % inkl. Mwst.",{'is24qa-listonlyonis24-label': 'Nur hier gefunden'}
Reihenmittelhaus mit Wohlfühlgarantie,330000.0,"99441 Großschwabhausen, Weimarer Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,110.0,396.3,3000.0,Reihenmittelhaus,14.0,sofort,nil,2,1 Carport,"4,76 % inkl. ges. MwSt.",{}
schöne Villa sucht neuen Liebhaber im Herzen von Thüringen,250000.0,"99955 Bad Tennstedt, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",8,290.0,2415.0,862.0,Villa,,nil,nil,nil,nil,"7,14 % inkl. gesetzl. MwSt. (abweichende Provisionsregelungen n. §§ 656 a-d siehe ""Sonstiges"")","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"geräumiges Wohnhaus mit großem Garten, Doppelgarage und viel Platz für die Familie zu verkaufen",100000.0,"Unterdorf 35,
98574 Schmalkalden, Schmalkalden-Meiningen (Kreis)",8,170.0,1466.0,588.0,Einfamilienhaus (freistehend),80.0,04/2024,4,2,2 Garagen,"3,57% inkl. Mwst.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-stufenloser-zugang-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-einliegerwohnung-label': ''}"
Herrschaftliche Villa,1650000.0,"Reuterweg 2a,
Stadtzentrum, 99817 Eisenach",34,707.0,2240.0,2334.0,Villa,20.0,nil,nil,nil,8 Außenstellplätze,Nein,"{'is24qa-keller-label': '', 'is24qa-vermietet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"3-Seiten-Hof-Oase mit 4 Gebäuden, eigenem Teich und ca.10.073 m² Grundstück",425000.0,"04618 Langenleuba-Niederhain, Altenburger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",50,3500.0,10073.0,121.0,Bauernhaus,3500.0,nil,nil,nil,nil,"7,14% inkl. MwSt.",{}
Sei schLAU-kauf DEIN (Ferien-)HAUS in LichTEenAU ! Gemütlich & Klein darfs im Thür. WaLd gern sein!,57570.0,"Schwarzbacher Str. 7,
98666 Schleusegrund, Hildburghausen (Kreis)",4,94.5,109.0,609.0,Einfamilienhaus (freistehend),33.0,sofort,3,1,1 Garage,Nein,"{'is24qa-online-besichtigung-moeglich-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': '', 'is24qa-provisionsfrei-fuer-kaufende-label': ''}"
"großzügiges EFH mit schönem Garten, Nebengelass und Garagen zu verkaufen- ideal für Familien!",150000.0,"Tambacher Straße 54,
98593 Floh-Seligenthal, Schmalkalden-Meiningen (Kreis)",8,130.0,542.0,1154.0,Reiheneckhaus,110.0,04/2024,4,2,3 Garagen,"3,57% inkl. Mwst.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-als-ferienhaus-geeignet-label': ''}"
..mit viel Platz für Hobby oder Gewerbe.,83000.0,"98660 Themar, Hildburghausen (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,106.0,245.0,783.0,Reihenmittelhaus,180.0,nil,nil,nil,nil,"3,57 % inkl. ges. MwSt.",{'is24qa-gaeste-wc-label': ''}
