title,price,address,rooms,living_space,property_area,price_per_m2,type,usable_area,available_from,bedrooms,bathrooms,garage_parking,buyer_commission,criteriagroup_boolean_listing
Einfamilienhaus in Ebeleben zu verkaufen,108.000 €,"Wilhelm-Klemm-Str. 24,
99713 Ebeleben, Kyffhäuserkreis",4,108 m²,586 m²,1.000 €/m²,Einfamilienhaus (freistehend),173 m²,nil,3,1,Außenstellplatz,"3,9 % incl. MwSt.","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
RESERVIERT!! EINFAMILIENHAUS IM SÜDEN DER KLASSIKERSTADT MIT EINEM MAXIMUM AN LEBENSQUALITÄT,850.000 €,"Am Kirschbach 6,
Niedergrunstedt, 99428 Weimar",6,281 m²,1.491 m²,3.025 €/m²,Einfamilienhaus (freistehend),40 m²,Mit Verkauf,nil,2,4 Garagen,"Der Käufer zahlt eine Maklerprovision in Höhe von 3,00% des Kaufpreises (inkl. MwSt.).","{'is24qa-gaeste-wc-label': '', 'is24qa-stufenloser-zugang-label': ''}"
"Schickes Eigenheim für die ganze Familie, 7 Zimmer, 2 Bäder - 20min bis zur Jenaer od. Weimarer City",199.000 €,"99441 Lehnstedt, Weimarer Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",7,"140,77 m²",342 m²,1.414 €/m²,Doppelhaushälfte,"50,37 m²",nil,5,2,2 Außenstellplätze,"3,57 % inkl. MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
Attraktives Mehrfamilienhaus mit 6 Wohneinheiten in Zechau Thüringen Faktor 15,349.000 €,"04617 Kriebitzsch, Altenburger Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",14,404 m²,581 m²,864 €/m²,Mehrfamilienhaus,nil,nil,nil,nil,nil,23940€,{'is24qa-vermietet-label': ''}
Einfamilienhaus bzw. Mehrgenerationshaus in Jena Alt-Lobeda zzgl. Gartengrundstück mit 1.200 qm,649.000 €,"Lobeda-Altstadt, 07747 Jena
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,150 m²,481 m²,4.327 €/m²,Einfamilienhaus (freistehend),54 m²,n.V.,3,3,2 Garagen,3 % inkl. ges. MwSt.,"{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
entwicklungsfähiger san.-bed. Restbauernhof am Rand vom Hainich-Nationalpark,59.900 €,"99986 Langula, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,160 m²,1.115 m²,374 €/m²,nil,nil,nil,3,2,4 Stellplätze,"5.000,00 € inkl. der gesetzlich gültigen MwSt.","{'is24qa-gaeste-wc-label': '', 'is24qa-keller-label': ''}"
"Malern, Einziehen, Wohlfühlen - 5 Zimmer, Küche, Bad, Speisekammer, Garage, Zuf., Büro",149.000 €,"99991 Großengottern, Unstrut-Hainich-Kreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,"137,93 m²",191 m²,1.080 €/m²,nil,45 m²,nach Vereinbarung,4,1,Garage,"5.000,00 € inkl. MwSt",{'is24qa-keller-label': ''}
Solides Haus mit Platz für Mehr !,95.000 €,"06567 Bad Frankenhausen/Kyffhäuser, Kyffhäuserkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",5,140 m²,341 m²,679 €/m²,Einfamilienhaus (freistehend),100 m²,sofort,nil,nil,1 Garage,"4,76 % inkl. ges. MwSt.",{'is24qa-keller-label': ''}
Vermietetes modernisiertes Fachwerkhaus auf kleinem Grundstück,129.000 €,"36466 Dermbach, Wartburgkreis
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.","3,5",113 m²,123 m²,1.142 €/m²,Einfamilienhaus (freistehend),16 m²,nil,2,1,1 Außenstellplatz,"2,975 % vom Kaufpreis inkl. 19% ges. MwSt","{'is24qa-keller-label': '', 'is24qa-vermietet-label': ''}"
Großzügiges Mehrgenerationenhaus sucht liebevolle Handwerkerhände,99.000 €,"99518 Großheringen, Weimarer Land (Kreis)
Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter.",6,180 m²,800 m²,550 €/m²,Einfamilienhaus (freistehend),nil,sorfort,nil,nil,nil,"4,76 % inkl. ges. MwSt.","{'is24qa-keller-label': '', 'is24qa-einliegerwohnung-label': ''}"
